1002.000,1.000,0.589,7441.000,1.000,0.292,3690.000,1.000,0.292,1874.000,1.000,0.290,6987.000,1.000,0.288
1014.000,1.000,0.580,2918.000,1.000,0.422,4326.000,1.000,0.383,3843.000,1.000,0.382,1076.000,1.000,0.382
1018.000,1.000,0.670,6533.000,1.000,0.277,4300.000,1.000,0.257,2562.000,1.000,0.245,5573.000,2.000,0.238
1022.000,1.000,0.329,4251.000,2.000,0.293,4861.000,1.000,0.292,5843.000,1.000,0.273,2055.000,4.000,0.269
1027.000,1.000,0.456,2574.000,1.000,0.351,2055.000,1.000,0.304,4245.000,1.000,0.284,1548.000,1.000,0.272
1030.000,1.000,0.496,2574.000,4.000,0.251,6533.000,1.000,0.245,1984.000,1.000,0.237,5470.000,1.000,0.231
1035.000,1.000,0.845,4517.000,4.000,0.554,6426.000,1.000,0.518,3111.000,4.000,0.472,1312.000,1.000,0.468
1036.000,1.000,0.764,1076.000,1.000,0.479,2574.000,3.000,0.466,6298.000,2.000,0.458,6301.000,1.000,0.453
1058.000,1.000,0.566,5189.000,1.000,0.383,6533.000,1.000,0.379,3617.000,1.000,0.366,6384.000,1.000,0.363
1059.000,1.000,0.575,2574.000,1.000,0.375,3682.000,1.000,0.370,3077.000,1.000,0.343,6817.000,1.000,0.331
1060.000,1.000,0.645,1076.000,1.000,0.481,2918.000,1.000,0.458,5136.000,1.000,0.436,3690.000,1.000,0.431
1073.000,1.000,0.480,6817.000,1.000,0.357,2574.000,1.000,0.351,2055.000,4.000,0.333,3077.000,1.000,0.325
1074.000,1.000,0.734,6426.000,4.000,0.465,2110.000,4.000,0.414,1035.000,4.000,0.409,6088.000,4.000,0.377
1076.000,1.000,0.677,5205.000,1.000,0.480,3077.000,1.000,0.471,4644.000,1.000,0.468,4830.000,1.000,0.467
1107.000,1.000,0.489,2574.000,1.000,0.300,2347.000,1.000,0.297,6817.000,1.000,0.297,4251.000,1.000,0.294
1119.000,1.000,0.547,1840.000,1.000,0.378,4326.000,1.000,0.352,6039.000,1.000,0.350,4520.000,1.000,0.350
1120.000,1.000,0.457,2574.000,1.000,0.190,4146.000,1.000,0.187,3077.000,1.000,0.178,6057.000,1.000,0.175
1130.000,1.000,0.641,2574.000,2.000,0.441,6533.000,1.000,0.440,2918.000,1.000,0.412,4644.000,1.000,0.410
1141.000,1.000,0.419,2918.000,1.000,0.313,4268.000,1.000,0.311,4326.000,1.000,0.309,3843.000,1.000,0.296
1144.000,1.000,0.551,6533.000,1.000,0.356,1494.000,1.000,0.342,3617.000,1.000,0.339,5332.000,1.000,0.331
1157.000,1.000,0.626,6533.000,1.000,0.414,2574.000,3.000,0.392,6301.000,1.000,0.390,2918.000,1.000,0.390
1164.000,1.000,0.697,3306.000,1.000,0.467,2918.000,1.000,0.462,1119.000,1.000,0.446,6384.000,1.000,0.443
1171.000,1.000,0.756,2574.000,1.000,0.543,6298.000,1.000,0.491,3077.000,1.000,0.450,6817.000,1.000,0.434
1212.000,1.000,0.589,2574.000,1.000,0.421,6298.000,1.000,0.334,6817.000,1.000,0.317,2370.000,1.000,0.311
1217.000,1.000,0.697,2370.000,1.000,0.360,2532.000,1.000,0.346,4817.000,1.000,0.339,4247.000,1.000,0.337
1225.000,1.000,0.626,2918.000,1.000,0.379,1076.000,1.000,0.368,5189.000,1.000,0.348,5205.000,1.000,0.329
1229.000,1.000,0.450,2918.000,1.000,0.386,4326.000,1.000,0.381,6301.000,1.000,0.376,6533.000,1.000,0.365
1239.000,1.000,0.443,2265.000,1.000,0.289,2638.000,1.000,0.283,1609.000,1.000,0.281,1984.000,1.000,0.279
1255.000,1.000,0.425,2574.000,2.000,0.312,2370.000,1.000,0.308,1840.000,1.000,0.274,6817.000,2.000,0.272
1257.000,1.000,0.450,4251.000,1.000,0.332,2055.000,4.000,0.305,7080.000,1.000,0.262,3367.000,1.000,0.255
1262.000,1.000,0.866,3690.000,1.000,0.346,5811.000,1.000,0.343,2635.000,1.000,0.333,3621.000,1.000,0.329
1274.000,1.000,0.605,2574.000,1.000,0.377,6817.000,1.000,0.337,3618.000,1.000,0.300,7436.000,1.000,0.297
1277.000,1.000,0.453,2574.000,1.000,0.379,3077.000,1.000,0.349,6533.000,1.000,0.348,1657.000,1.000,0.323
1281.000,1.000,0.577,6307.000,1.000,0.265,3367.000,1.000,0.206,4984.000,1.000,0.176,5843.000,1.000,0.167
1286.000,1.000,0.537,1760.000,1.000,0.375,6394.000,1.000,0.369,6301.000,1.000,0.364,4924.000,2.000,0.361
1301.000,1.000,0.479,6533.000,1.000,0.323,2532.000,2.000,0.270,1840.000,1.000,0.262,5502.000,1.000,0.262
1312.000,1.000,0.822,6426.000,1.000,0.483,1492.000,3.000,0.376,6088.000,3.000,0.371,1507.000,1.000,0.365
1316.000,1.000,0.742,1076.000,2.000,0.448,3690.000,1.000,0.448,7441.000,1.000,0.448,5948.000,1.000,0.433
1317.000,1.000,0.470,2574.000,1.000,0.364,6817.000,1.000,0.317,6180.000,1.000,0.311,2669.000,1.000,0.304
1331.000,1.000,0.493,3306.000,1.000,0.179,2349.000,1.000,0.177,4785.000,1.000,0.170,5078.000,1.000,0.170
1336.000,1.000,0.573,7441.000,1.000,0.384,2918.000,1.000,0.378,1760.000,1.000,0.373,6876.000,1.000,0.361
1364.000,1.000,0.542,2574.000,1.000,0.338,6298.000,1.000,0.325,6607.000,1.000,0.286,1548.000,1.000,0.255
1365.000,1.000,0.662,7441.000,2.000,0.380,6301.000,2.000,0.362,5328.000,1.000,0.349,2918.000,3.000,0.347
1371.000,1.000,0.477,2574.000,1.000,0.332,4962.000,1.000,0.332,2055.000,4.000,0.332,2370.000,1.000,0.328
1376.000,1.000,0.621,6298.000,1.000,0.386,2574.000,1.000,0.370,6295.000,1.000,0.308,3077.000,1.000,0.299
1388.000,1.000,0.639,2918.000,1.000,0.428,3690.000,1.000,0.413,6978.000,1.000,0.383,6490.000,1.000,0.379
