1371.000,1.000,0.281,5078.000,1.000,0.187,1609.000,1.000,0.178,1843.000,1.000,0.176,5332.000,1.000,0.175
1376.000,1.000,0.399,3246.000,1.000,0.138,4193.000,1.000,0.131,1036.000,1.000,0.130,1763.000,1.000,0.118
1388.000,1.000,0.451,1682.000,1.000,0.288,5948.000,1.000,0.260,7441.000,1.000,0.242,1036.000,1.000,0.226
1425.000,1.000,0.574,7365.000,1.000,0.211,7400.000,1.000,0.205,1760.000,1.000,0.201,5328.000,1.000,0.198
1428.000,1.000,0.472,6876.000,1.000,0.211,1425.000,1.000,0.208,6819.000,1.000,0.204,5572.000,1.000,0.203
1435.000,1.000,0.587,5756.000,1.000,0.182,5948.000,1.000,0.178,5328.000,1.000,0.177,7441.000,1.000,0.161
1440.000,1.000,0.350,1316.000,1.000,0.211,6819.000,1.000,0.188,7235.000,1.000,0.181,4193.000,1.000,0.155
1463.000,1.000,0.364,1843.000,1.000,0.231,1609.000,1.000,0.213,2725.000,1.000,0.191,4146.000,1.000,0.188
1480.000,1.000,0.537,4193.000,1.000,0.161,1036.000,1.000,0.151,1682.000,1.000,0.139,6876.000,1.000,0.134
1492.000,1.000,0.367,6426.000,1.000,0.200,1035.000,3.000,0.170,1074.000,3.000,0.163,1312.000,1.000,0.140
1494.000,1.000,0.394,1843.000,1.000,0.192,2725.000,1.000,0.191,6876.000,1.000,0.189,1609.000,1.000,0.186
1498.000,1.000,0.385,1609.000,1.000,0.270,4469.000,1.000,0.251,1843.000,1.000,0.246,5336.000,1.000,0.238
1502.000,1.000,0.511,4146.000,1.000,0.242,1609.000,1.000,0.241,7396.000,1.000,0.240,1537.000,1.000,0.232
1507.000,1.000,0.299,4193.000,1.000,0.201,1609.000,1.000,0.198,7381.000,1.000,0.178,5572.000,1.000,0.177
1517.000,1.000,0.142,6533.000,4.000,0.176,4146.000,4.000,0.175,2574.000,1.000,0.161,4332.000,4.000,0.156
1530.000,1.000,0.429,6301.000,1.000,0.226,1316.000,3.000,0.219,4520.000,1.000,0.210,5572.000,1.000,0.188
1532.000,1.000,0.448,7441.000,1.000,0.225,1609.000,1.000,0.216,5948.000,1.000,0.199,1695.000,1.000,0.199
1537.000,1.000,0.457,6819.000,1.000,0.268,6301.000,1.000,0.233,4193.000,1.000,0.231,7235.000,1.000,0.228
1539.000,1.000,0.263,6490.000,1.000,0.108,5520.000,1.000,0.108,3594.000,4.000,0.107,3609.000,1.000,0.105
1546.000,1.000,0.636,6876.000,1.000,0.204,5572.000,1.000,0.197,5948.000,1.000,0.190,4193.000,1.000,0.187
1548.000,1.000,0.603,6301.000,1.000,0.311,1609.000,1.000,0.306,1843.000,1.000,0.295,4146.000,1.000,0.286
1551.000,1.000,0.270,1609.000,1.000,0.126,7381.000,1.000,0.118,4193.000,1.000,0.114,1843.000,1.000,0.113
1561.000,1.000,0.336,4193.000,1.000,0.153,5572.000,1.000,0.152,2725.000,1.000,0.150,4146.000,1.000,0.149
1567.000,1.000,0.407,7235.000,1.000,0.184,6301.000,1.000,0.176,4520.000,1.000,0.167,6819.000,1.000,0.164
