19501,0.426
19502,0.142
19503,0.176
19504,0.191
19505,0.185
19506,0.147
19507,0.136
19508,0.131
19509,0.187
19510,0.717
19511,0.204
19512,0.14
19513,0.234
19514,0.31
19515,0.417
19516,0.186
19517,0.133
19518,0.131
19519,0.132
19520,0.185
19521,0.204
19522,0.375
19523,0.554
19524,0.712
19601,0.481
19602,0.184
19603,0.157
19604,0.133
19605,0.134
19606,0.145
19607,0.186
19608,0.187
19609,0.224
19610,1.372
19611,0.371
19612,0.344
19613,0.527
19614,0.581
19615,0.503
19616,0.484
19617,0.488
19618,0.546
19619,0.291
19620,0.282
19621,0.397
19622,0.433
19623,0.276
19624,0.246
19701,0.626
19702,0.147
19703,0.147
19704,0.191
19705,0.193
19706,0.183
19707,0.14
19708,0.137
19709,0.198
19710,0.812
19711,1.586
19712,0.42
19713,0.311
19714,0.288
19715,0.289
19716,0.582
19717,0.324
19718,0.33
19719,0.259
19720,0.304
19721,0.268
19722,0.534
19723,0.245
19724,0.28
19801,0.767
19802,0.284
19803,0.147
19804,0.145
19805,0.138
19806,0.189
19807,0.189
19808,0.177
19809,0.966
19810,0.499
19811,0.478
19812,0.338
19813,0.278
19814,0.308
19815,0.322
19816,0.27
19817,0.564
19818,0.307
19819,0.482
19820,0.286
19821,0.316
19822,0.355
19823,0.259
19824,0.242
19901,0.518
19902,0.894
19903,0.331
19904,0.184
19905,0.193
19906,0.191
19907,0.146
19908,0.14
19909,0.132
19910,0.178
19911,0.7
19912,0.655
19913,0.301
19914,0.276
19915,0.272
19916,0.883
19917,0.46
19918,0.441
19919,0.43
19920,0.33
19921,0.427
19922,0.525
19923,0.761
19924,0.751
20001,0.487
20002,0.16
20003,0.156
20004,0.156
20005,0.164
20006,0.191
20007,0.189
20008,0.189
20009,0.265
20010,0.53
20011,0.411
20012,0.153
20013,0.319
20014,0.981
20015,0.198
20016,0.552
20017,0.295
20018,0.273
20019,0.281
20020,0.34
20021,0.455
20022,0.39
20023,0.318
20024,0.385
20101,0.871
20102,0.203
20103,0.177
20104,0.133
20105,0.129
20106,0.206
20107,0.199
20108,0.129
20109,0.578
20110,0.561
20111,2.141
20112,0.195
20113,0.238
20114,0.256
20115,0.15
20116,0.198
20117,0.188
20118,0.132
20119,0.494
20120,0.275
20121,0.187
20122,0.173
20123,0.125
20124,0.121
20201,0.192
20202,0.609
20203,0.173
20204,0.127
20205,0.134
20206,0.206
